Int_no,Rue_1,Rue_2,Arrondissement,X,Y,Longitude,Latitude
2,Docteur-Penfield,Peel,Ville-Marie,298588.54,5040384.56,-73.5795077,45.50336009999999
3,Borden,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294064.9,5036578.94,-73.6372888,45.46906610000001
4,Cavendish,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,293240.69,5036867.49,-73.6477271,45.4716599
5,Cavendish,Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce,293705.38,5036607.52,-73.6418759,45.4693117
6,Cavendish,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,294459.19,5036147.22,-73.6322193,45.4651745
7,Cavendish,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,293990.38,5036449.02,-73.6382337,45.46788129999999
8,Cavendish,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294224.52,5036321.42,-73.635053,45.466753
9,Coronation,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,292805.38,5036240.3,-73.6534633,45.4660115
11,Côte-Saint-Luc,Grand Boulevard,Côte-des-Neiges - Notre-Dame-de-Grâce,293692.92,5037250.03,-73.6420763,45.4751026
12,Curatteau,Sherbrooke,Mercier - Hochelaga - Maisonneuve,301959.22,5050476,-73.53632859999999,45.5942243
13,Côte-Saint-Luc,Marcil/Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294733.7,5037619.25,-73.62881759999999,45.4784807
29,Addington,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296109.89,5037011.43,-73.6110929,45.473025
30,Beaconsfield,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295751.57,5036046.1,-73.549967,45.57813300000001
31,Benny,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294890.32,5036115.82,-73.6267481,45.46492569999999
34,Botrel,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296166.44,5037053,-73.52940579999999,45.6058591
35,Cavendish,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295086.29,5035736.47,-73.624128,45.4614538
36,Cavendish,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294714.51,5035985.47,-73.6289924,45.4636928
37,Coronation,Monkland/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294091.53,5035536.08,-73.6372335,45.4591994
